from,to,time
cbr,ole,2018
mas,ole,2018
cbr,gzuz,2016
cbr,gzuz,2016
cbr,bmc,2016
cbr,bmc,2016
cbr,ufo,2016
cbr,cel,2017
cbr,abd,2017
cbr,ak,2017
cbr,kk,2017
cbr,ufo,2017
cbr,ole,2018
cbr,kk,2018
cbr,sc,2018
cbr,gzuz,2018
cbr,ufo,2018
cbr,lu,2018
cbr,dar,2018
cbr,mas,2018
cbr,sam,2018
cbr,bush,2018
cbr,bush,2018
cbr,dar,2018
cbr,ole,2018
cbr,kol,2018
cbr,fb,2018
cbr,bau,2018
eno,cbr,2018
lu,cbr,2018
bush,cbr,2018
ak,cbr,2018
sam,cbr,2018
ole,cbr,2018
ole,cbr,2018
zun,cbr,2018
x,cbr,2018
sam,cbr,2018
sam,cbr,2018
sam,cbr,2018
ufo,cbr,2018
juju,cbr,2018
kk,cbr,2018
kc,cbr,2018
fb,cbr,2018
ak,cbr,2018
kk,cbr,2018
kay,cbr,2018
bau,cbr,2018
jm,cbr,2018
gzuz,cbr,2017
si,cbr,2017
ufo,cbr,2017
ole,cbr,2017
kk,cbr,2017
g,cbr,2017
ak,cbr,2017
raf,cbr,2017
jm,cbr,2017
dar,cbr,2017
sam,cbr,2018
sam,cbr,2018
sam,cbr,2018
ole,cbr,2016
kk,cbr,2016
kay,cbr,2016
mas,cbr,2016
kk,cbr,2016
kk,cbr,2016
kk,cbr,2016
bmc,cbr,2017
haz,cbr,2017
kk,cbr,2017
ak,cbr,2017
kk,cbr,2017
lx,cbr,2017
jm,cbr,2017
kok,cbr,2017
ufo,cbr,2017
bau,capo,2013
bau,h,2015
bau,ree,2018
jm,bau,2018
nura,bau,2018
cbr,bau,2018
ree,bau,2018
ree,bau,2018
capo,bau,2014
cbr,bau,2018
mozz,l,2018
mozz,vey,2018
l,mozz,2018
eno,dar,2016
eno,capo,2018
eno,azz,2017
eno,azz,2017
eno,haf,2018
eno,lu,2018
eno,x,2018
eno,azz,2017
eno,capo,2017
eno,bush,2017
eno,lg,2017
eno,sou,2017
eno,ci,2017
eno,azz,2017
eno,tt,2017
eno,n57,2017
eno,ahz,2017
eno,cel,2017
eno,abd,2017
eno,azz,2017
eno,azz,2017
eno,azz,2017
x,eno,2018
aza,eno,2018
rin,yh,2016
rin,dar,2017
rin,rem,2017
rin,mos,2017
rin,lev,2017
rin,sh,2016
bmc,raf,2017
bmc,raf,2017
ufo,raf,2017
gzuz,raf,2017
bau,raf,2017
bmc,raf,2017
kok,raf,2017
ufo,raf,2017
bmc,raf,2017
kc,raf,2017
bmc,raf,2017
max,raf,2017
gzuz,raf,2017
jm,raf,2017
max,raf,2017
gzuz,raf,2017
emi,raf,2017
kok,raf,2016
bmc,raf,2016
met,raf,2016
fb,raf,2016
kk,raf,2016
lr,raf,2016
btng,raf,2016
jm,raf,2016
brkn,raf,2015
pp,raf,2013
vega,raf,2013
ch,raf,2013
jm,raf,2013
motr,raf,2013
sk,raf,2013
sk,raf,2013
ch,raf,2012
jm,raf,2012
mas,raf,2012
naz,raf,2012
mar,raf,2012
motr,raf,2012
sil,raf,2012
tkiz,raf,2012
man,raf,2010
naz,raf,2010
ch,raf,2010
dbo,raf,2010
joka,raf,2010
motr,raf,2010
sil,raf,2010
tua,raf,2010
tkiz,raf,2010
naz,raf,2010
naz,raf,2009
dbo,raf,2009
jm,raf,2009
ch,raf,2009
sb,raf,2009
sb,raf,2009
bm,raf,2009
naz,raf,2008
emi,raf,2008
bm,raf,2008
ch,raf,2008
dbo,raf,2008
sb,raf,2008
ase,raf,2008
naz,raf,2008
emi,raf,2008
ch,raf,2008
jm,raf,2008
naz,raf,2006
capo,dar,2017
ni,dar,2017
rem,dar,2017
bau,dar,2019
dar,ni,2018
dar,lu,2018
dar,capo,2018
dar,ni,2018
dar,ufo,2018
lm,kao,2019
mc,tre,2013
h,tre,2016
bmc,tre,2016
raf,tre,2016
k,tre,2016
bar,tre,2016
k,tre,2017
gzuz,tre,2018
bmc,tre,2018
raf,tre,2018
ufo,tre,2018
nura,tre,2018
tre,meg,2015
tre,ufo,2016
tre,sde,2016
tre,h,2016
tre,cc,2016
tre,meg,2017
tre,meg,2017
tre,meg,2017
tre,meg,2017
tre,meg,2017
tre,meg,2017
tre,gzuz,2017
tre,bmc,2017
tre,raf,2017
tre,jb,2017
tre,h,2017
tre,mar,2017
tre,cro,2018
tre,gzuz,2018
m36,ufo,2010
said,ufo,2010
said,ufo,2011
said,ufo,2013
gre,ufo,2013
haf,ufo,2015
blk,ufo,2015
tre,ufo,2016
raf,ufo,2017
capo,ufo,2017
ni,ufo,2017
capo,ufo,2017
dar,ufo,2018
gzuz,ufo,2018
ole,ufo,2018
capo,ufo,2018
raf,ufo,2018
dar,ufo,2018
ufo,gre,2014
ufo,rar,2014
ufo,kalu,2014
ufo,blk,2014
ufo,md,2014
ufo,cel,2016
ufo,abd,2016
ufo,bmc,2016
ufo,btng,2016
ufo,bsh,2016
ufo,crac,2016
ufo,si,2016
ufo,ni,2016
ufo,gre,2016
ufo,capo,2016
ufo,max,2016
ufo,sou,2016
ufo,yh,2016
ufo,raf,2017
ufo,haf,2017
ufo,si,2017
ufo,capo,2017
ufo,x,2017
ufo,yh,2017
ufo,han,2017
ufo,ole,2017
ufo,gzuz,2017
ufo,jm,2017
ufo,capo,2018
ufo,yh,2018
ufo,tre,2018
ufo,gzuz,2018
ufo,raf,2018
ufo,raf,2018
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
gzuz,raf,2016
max,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
han,raf,2016
df,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
bmc,raf,2016
gzuz,raf,2016
bmc,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
tre,raf,2016
bau,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
tre,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2016
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
gzuz,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
han,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
kok,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
tre,raf,2018
gzuz,raf,2018
bau,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
bmc,raf,2018
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
ch,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
naz,raf,2010
maxi,raf,2010
naz,raf,2010
sb,raf,2010
naz,raf,2010
fler,raf,2010
naz,raf,2010
naz,raf,2010
ch,raf,2014
jm,raf,2014
ch,raf,2014
ch,raf,2014
ch,raf,2014
ch,raf,2014
ch,raf,2014
jm,raf,2014
ch,raf,2014
ch,raf,2014
ch,raf,2014
jm,raf,2014
ch,raf,2014
ch,raf,2014
jm,raf,2014
ch,raf,2014
bm,raf,2014
sb,raf,2014
mass,raf,2014
pi,raf,2014
ch,raf,2014
jm,raf,2014
ch,raf,2014
ch,raf,2014
raf,naz,2011
raf,naz,2011
raf,naz,2011
raf,naz,2011
raf,bmc,2018
raf,ch,2014
raf,max,2016
raf,max,2016
raf,max,2016
bmc,raf,2016
raf,dbo,2009
raf,naz,2009
raf,bm,2010
raf,tre,2017
raf,bmc,2017
raf,joka,2010
raf,joka,2010
raf,alg,2013
bmc,raf,2018
